CLASS_LVL,GENDER,MAJOR,PREV,LECATTEND,DISCATTEND,FINAL,FINALQ
3,1,8,1,1,1,81,3
3,2,4,3,3,3,31,1
3,2,4,1,3,3,86,3
3,2,6,2,3,3,59,2
3,1,8,1,3,3,15,1
3,1,10,1,1,3,41,1
3,2,2,3,2,3,57,2
3,2,11,1,1,3,93,4
3,1,1,1,1,1,72,2
3,2,10,1,1,2,87,3
3,2,10,1,1,2,81,3
3,2,9,2,2,2,80,3
3,2,3,2,2,2,76,3
3,2,8,1,3,3,73,2
3,2,8,1,2,2,77,3
3,2,11,2,2,2,90,4
3,2,8,1,1,1,69,2
3,2,11,3,2,2,40,1
3,2,6,3,3,3,63,2
3,2,8,3,1,1,32,1
3,2,8,1,2,1,26,1
3,2,8,1,3,3,90,4
3,2,8,3,3,1,68,2
3,2,11,2,2,3,70,2
3,2,7,1,2,1,88,3
3,2,2,1,3,3,29,1
3,2,10,3,1,1,62,2
3,1,8,3,1,1,30,1
3,2,12,2,1,3,79,3
3,2,8,3,3,3,74,2
3,2,6,3,3,3,84,3
3,2,4,1,1,3,61,2
3,2,9,1,2,2,63,2
3,2,9,1,2,2,68,2
3,2,11,3,2,3,53,1
3,2,8,1,2,3,70,2
3,1,6,1,2,3,68,2
3,2,6,1,2,3,60,2
3,2,6,3,3,3,60,2
3,2,7,3,2,2,0,1
3,2,4,3,2,3,78,3
3,2,10,1,3,3,59,2
3,2,11,1,2,3,67,2
3,2,11,1,3,3,81,3
3,2,11,2,3,3,82,3
3,2,1,1,3,2,71,2
3,2,9,1,3,3,75,3
3,1,8,1,2,3,44,1
3,2,10,2,1,1,75,3
3,2,9,1,3,3,83,3
3,2,1,1,1,1,96,4
3,2,10,1,1,1,26,1
3,2,4,2,3,3,47,1
3,2,1,1,3,3,94,4
3,2,4,1,2,2,55,1
3,2,10,1,3,3,49,1
3,2,4,1,2,3,66,2
3,2,1,1,3,2,100,4
3,2,10,1,1,1,94,4
3,2,11,1,3,2,2,1
3,2,10,1,3,3,76,3
3,2,7,2,1,1,82,3
3,2,10,1,3,3,84,3
3,2,10,1,1,1,91,4
3,1,9,2,1,2,30,1
3,2,2,1,1,2,10,1
3,2,5,1,1,1,15,1
3,2,10,2,2,2,35,1
3,2,6,3,3,3,32,1
3,2,2,1,1,1,44,1
3,2,6,1,2,1,75,3
3,2,8,1,1,2,36,1
3,2,1,1,3,3,100,4
3,1,4,2,3,1,98,4
3,2,6,1,3,3,97,4
3,2,4,2,2,2,94,4
3,2,10,1,1,1,91,4
3,2,6,1,3,3,90,4
3,1,10,1,3,2,89,4
3,1,2,1,2,3,89,4
3,2,2,1,2,1,88,3
3,2,4,2,1,1,88,3
3,1,11,1,1,1,86,3
3,1,8,1,1,1,84,3
3,2,10,3,3,2,84,3
3,2,11,3,3,3,83,3
3,2,8,1,1,2,83,3
3,2,7,1,2,1,83,3
3,2,1,2,3,2,82,3
3,2,8,2,3,1,81,3
3,2,4,1,1,2,78,3
3,2,2,2,3,3,76,3
3,2,1,1,3,3,75,3
3,2,10,1,3,3,75,3
3,2,9,2,2,3,73,2
3,1,10,1,1,1,72,2
3,2,6,2,3,3,71,2
3,2,6,1,2,1,70,2
